"Rawson et al., Compositional variability in mafic arc magmas over short spatial and temporal scales: evidence for the signature of mantle reactive melt channels ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplementary whole rock analyses new and published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Raw Whole Rock Major data (wt.%),,,,,,,,,,,,,,Normalised Whole Rock Major data (wt%),,,,,,,,,,,Whole Rock Trace data (ug/g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llaima,JK 201,lll e,,38.692,,"Schindlbeck et al., 2014 ",60.14,1.18,16.52,7.90,0.18,2.44,5.56,4.96,1.01,0.33,37.93,,100.22,,60.01,1.18,16.48,7.88,0.18,2.43,5.55,4.95,1.01,0.33,,27,,2,,16,,23,93,10,12,4,30,98,17,21,427,297,20,,,,16,,20,,,,,,,,,,,,
Llaima,JK 203,lll e,,38.692,,"Schindlbeck et al., 2014 ",61.34,1.02,16.06,7.34,0.17,2.12,5.13,5.06,1.15,0.25,36.37,,99.64,,61.56,1.02,16.12,7.37,0.17,2.13,5.15,5.08,1.15,0.25,,29,,4,,9,,16,95,3,15,1,32,97,18,23,376,345,29,,,,16,,16,,,,,,,,,,,,
Llaima,JK 206,lll e,,38.692,,"Schindlbeck et al., 2014 ",58.88,1.16,16.28,8.28,0.17,2.58,5.95,4.58,0.96,0.27,38.14,,99.11,,59.41,1.17,16.43,8.35,0.17,2.60,6.00,4.62,0.97,0.27,,29,,3,,7,,22,128,0,11,2,62,101,18,20,414,290,19,,,,15,,12,,,,,,,,,,,,
Llaima,JK 208a,ll c,,38.692,,"Schindlbeck et al., 2014 ",57.51,1.18,17.80,8.13,0.18,2.06,4.98,4.17,0.81,0.22,33.39,,97.04,,59.26,1.22,18.34,8.38,0.19,2.12,5.13,4.30,0.83,0.23,,27.20,125.69,3.20,1.07,11.58,,21.09,74.20,6.22,10.64,0.97,28.34,96.54,20.40,18.24,429.49,338.06,29.03,2.35,0.75,1.88,12.11,4.13,18.78,4.76,1.53,4.99,0.83,5.26,1.08,3.01,0.45,3.04,0.45,3.47,0.20
Llaima,JK 208b,ll c,,38.692,,"Schindlbeck et al., 2014 ",59.33,1.13,16.73,7.61,0.18,2.08,5.08,4.56,0.99,0.27,35.10,,97.96,,60.57,1.15,17.08,7.77,0.18,2.12,5.19,4.65,1.01,0.28,,29,,4,,10,,20,82,0,17,1,50,98,18,19,397,334,26,,,,2,,21,,,,,,,,,,,,
Llaima,JK 212,ll a,,38.692,,"Schindlbeck et al., 2014 ",56.78,1.26,16.30,9.35,0.18,2.68,6.04,4.20,0.90,0.24,36.19,,97.93,,57.98,1.29,16.64,9.55,0.18,2.74,6.17,4.29,0.92,0.25,,29,,3,,7,,30,193,0,20,0,91,98,20,17,398,291,18,,,,9,,15,,,,,,,,,,,,
Llaima,JK 213,ll b,,38.692,,"Schindlbeck et al., 2014",52.72,1.09,16.74,10.03,0.16,4.27,8.71,3.16,0.54,0.15,45.72,,97.57,,54.03,1.12,17.16,10.28,0.16,4.38,8.93,3.24,0.55,0.15,,17,,3,,1,,33,264,31,29,18,101,90,17,13,429,197,14,,,,,,9,,,,,,,,,,,,
Llaima,JK 214d,ll d,,38.692,,"Schindlbeck et al., 2014",59.58,1.00,15.48,7.61,0.18,1.28,3.80,4.38,1.19,0.30,24.97,,94.80,,62.85,1.05,16.33,8.03,0.19,1.35,4.01,4.62,1.26,0.32,,37,,5,,16,,20,42,0,12,0,84,110,17,27,289,394,40,,,,12,,27,,,,,,,,,,,,
Llaima,JK 216,V k,,38.692,,"Schindlbeck et al., 2014",54.28,1.24,16.99,10.38,0.17,3.45,7.89,3.51,0.68,0.21,39.67,,98.80,,54.94,1.26,17.20,10.51,0.17,3.49,7.99,3.55,0.69,0.21,,24,,3,,6,,29,271,24,28,14,109,96,20,12,419,230,26,,,,2,,15,,,,,,,,,,,,
Llaima,JK 217,V l,,38.692,,"Schindlbeck et al., 2014",57.78,1.28,16.23,10.17,0.19,2.42,5.63,4.10,0.87,0.25,32.01,,98.92,,58.41,1.29,16.41,10.28,0.19,2.45,5.69,4.14,0.88,0.25,,27.59,109.75,2.74,1.12,10.37,,25.71,169.72,5.24,18.05,1.61,82.54,97.81,19.62,19.32,391.14,285.57,26.05,1.80,0.66,1.66,10.77,3.70,17.12,4.44,1.43,4.79,0.79,5.05,1.05,2.96,0.45,3.02,0.46,3.06,0.16
Llaima,JK 218,V l,,38.692,,"Schindlbeck et al., 2014",59.46,1.18,16.12,9.20,0.18,2.09,5.22,4.55,0.99,0.29,31.01,,99.28,,59.89,1.19,16.24,9.27,0.18,2.11,5.26,4.58,1.00,0.29,,30,,3,,9,,23,119,0,17,0,79,105,17,21,373,335,42,,,,13,,23,,,,,,,,,,,,
Llaima,JK 219,V m,,38.692,,"Schindlbeck et al., 2014",59.97,1.08,15.50,8.58,0.18,2.03,5.12,4.82,1.04,0.27,31.89,,98.59,,60.83,1.10,15.72,8.70,0.18,2.06,5.19,4.89,1.05,0.27,,30,,4,,11,,21,96,5,15,2,59,106,19,20,364,327,56,,,,26,,21,,,,,,,,,,,,
Llaima,JK 220,V n,,38.692,,"Schindlbeck et al., 2014",55.84,1.34,16.07,10.63,0.18,2.76,6.17,3.86,0.80,0.23,33.94,,97.88,,57.05,1.37,16.42,10.86,0.18,2.82,6.30,3.94,0.82,0.23,,27,,4,,9,,25,233,0,20,3,96,108,17,18,390,264,31,,,,17,,22,,,,,,,,,,,,
Llaima,JK 221,V o,,38.692,,"Schindlbeck et al., 2014",54.00,1.33,15.75,10.92,0.17,3.98,7.94,3.35,0.71,0.22,41.90,,98.37,,54.89,1.35,16.01,11.10,0.17,4.05,8.07,3.41,0.72,0.22,,22,,4,,6,,40,310,42,30,15,166,100,17,15,390,243,5,,,,18,,10,,,,,,,,,,,,
Llaima,Jk 222,V p,,38.692,,"Schindlbeck et al., 2014",55.88,1.33,15.94,10.48,0.17,3.33,7.00,3.60,0.85,0.24,38.60,,98.82,,56.55,1.35,16.13,10.61,0.17,3.37,7.08,3.64,0.86,0.24,,25,,4,,6,,31,264,10,26,13,116,102,16,16,377,261,36,,,,10,,8,,,,,,,,,,,,
Llaima,JK 223,V q,,38.692,,"Schindlbeck et al., 2014",56.12,1.45,16.34,11.23,0.19,3.26,6.92,3.61,0.81,0.25,36.48,,100.18,,56.02,1.45,16.31,11.21,0.19,3.25,6.91,3.60,0.81,0.25,,26,,1,,2,,30,306,0,26,10,123,100,22,15,385,268,19,,,,4,,15,,,,,,,,,,,,
Llaima,JK 224,V r,,38.692,,"Schindlbeck et al., 2014",52.30,0.94,19.75,8.53,0.14,3.75,10.56,3.11,0.48,0.15,46.52,,99.71,,52.45,0.94,19.81,8.55,0.14,3.76,10.59,3.12,0.48,0.15,,17,,3,,1,,28,229,49,25,18,141,71,20,10,479,165,28,,,,10,,16,,,,,,,,,,,,
Llaima,JK 225,V t,,38.692,,"Schindlbeck et al., 2014",55.97,1.34,16.67,10.48,0.17,3.29,7.39,3.63,0.83,0.23,38.32,,100.00,,55.97,1.34,16.67,10.48,0.17,3.29,7.39,3.63,0.83,0.23,,26,,2,,9,,37,290,11,26,12,164,96,20,17,386,242,15,,,,10,,11,,,,,,,,,,,,
Llaima,Jk 226,V u,,38.692,,"Schindlbeck et al., 2014",59.53,1.37,15.79,9.51,0.17,2.29,5.67,4.25,1.34,0.32,32.27,,100.24,,59.39,1.37,15.75,9.49,0.17,2.28,5.66,4.24,1.34,0.32,,32,,5,,8,,27,191,0,21,5,106,102,18,31,336,383,38,,,,28,,25,,,,,,,,,,,,
Llaima,JK 227,V v,,38.692,,"Schindlbeck et al., 2014",55.26,1.51,15.90,11.41,0.18,3.66,7.58,3.59,0.97,0.28,38.83,,100.34,,55.07,1.50,15.85,11.37,0.18,3.65,7.55,3.58,0.97,0.28,,29.94,119.43,2.99,1.27,10.42,,33.89,321.15,27.73,25.96,10.97,120.50,101.12,19.37,20.98,393.92,282.01,27.65,2.05,0.72,1.69,11.40,3.97,18.67,4.87,1.43,5.22,0.86,5.45,1.13,3.14,0.48,3.17,0.48,3.31,0.18
Llaima,Jk 228,V w,,38.692,,"Schindlbeck et al., 2014",52.80,1.09,17.96,9.88,0.16,4.71,8.86,3.15,0.71,0.19,48.54,,99.51,,53.06,1.10,18.05,9.93,0.16,4.73,8.90,3.17,0.71,0.19,,21,,2,,3,,30,247,64,32,27,97,86,21,16,414,214,17,,,,2,,10,,,,,,,,,,,,
Llaima,JK 230,V j,,38.692,,"Schindlbeck et al., 2014",54.64,1.29,16.20,10.49,0.18,3.28,7.06,3.59,0.72,0.24,38.22,,97.69,,55.93,1.32,16.58,10.74,0.18,3.36,7.23,3.67,0.74,0.25,,25.50,96.24,2.57,1.02,8.39,,30.07,222.87,21.95,22.06,7.27,85.58,91.54,19.21,15.62,415.65,245.34,23.99,1.44,0.52,1.32,9.87,3.44,15.99,4.16,1.38,4.46,0.73,4.66,0.97,2.71,0.40,2.68,0.41,2.66,0.15
Llaima,JK 231,V i,,38.692,,"Schindlbeck et al., 2014",55.13,1.26,16.86,10.37,0.17,3.39,7.86,3.81,0.72,0.23,39.28,,99.80,,55.24,1.26,16.89,10.39,0.17,3.40,7.88,3.82,0.72,0.23,,24,,2,,6,,34,256,13,27,10,149,94,19,13,419,229,27,,,,22,,13,,,,,,,,,,,,
Llaima,JK 232,V g,,38.692,,"Schindlbeck et al., 2014",56.14,1.21,15.99,10.02,0.18,3.40,6.90,3.91,0.78,0.23,40.17,,98.76,,56.84,1.23,16.19,10.15,0.18,3.44,6.99,3.96,0.79,0.23,,24,,3,,5,,38,232,23,26,16,109,96,16,15,385,252,26,,,,,,17,,,,,,,,,,,,
Llaima,JK 233,V f,,38.692,,"Schindlbeck et al., 2014",54.76,1.35,16.29,10.93,0.18,3.44,7.36,3.39,0.69,0.22,38.38,,98.61,,55.53,1.37,16.52,11.08,0.18,3.49,7.46,3.44,0.70,0.22,,24,,4,,7,,29,298,0,31,6,140,99,20,12,407,234,27,,,,15,,18,,,,,,,,,,,,
Llaima,JK 234,V e,,38.692,,"Schindlbeck et al., 2014",51.64,1.05,17.71,9.59,0.15,4.79,9.15,2.90,0.56,0.17,49.71,,97.71,,52.85,1.07,18.13,9.81,0.15,4.90,9.36,2.97,0.57,0.17,,18,,3,,6,,26,239,57,32,34,145,81,14,15,444,186,29,,,,0,,12,,,,,,,,,,,,
Llaima,Jk 235,V c,,38.692,,"Schindlbeck et al., 2014",57.52,1.34,15.74,9.36,0.17,2.59,5.89,4.20,1.01,0.29,35.38,,98.11,,58.63,1.37,16.04,9.54,0.17,2.64,6.00,4.28,1.03,0.30,,28.41,122.46,3.66,1.30,10.64,,26.78,208.78,8.22,17.65,3.35,106.52,95.02,19.72,20.19,410.21,307.12,30.87,1.94,0.68,1.63,12.91,4.28,19.56,4.86,1.51,5.12,0.83,5.22,1.08,3.01,0.45,3.05,0.46,3.26,0.21
Llaima,JK 236,lV,,38.692,,"Schindlbeck et al., 2014",58.89,1.18,16.39,8.17,0.17,2.58,5.86,4.67,0.95,0.28,38.45,,99.14,,59.40,1.19,16.53,8.24,0.17,2.60,5.91,4.71,0.96,0.28,,28,,4,,2,,19,114,0,18,9,62,99,15,19,418,274,17,,,,2,,19,,,,,,,,,,,,
Llaima,JK 240a,ll c,,38.692,,"Schindlbeck et al., 2014",60.02,1.21,16.81,7.90,0.18,2.38,5.57,4.68,0.96,0.30,37.35,,100.01,,60.01,1.21,16.81,7.90,0.18,2.38,5.57,4.68,0.96,0.30,,30,,4,,9,,22,99,0,11,2,32,103,18,19,419,321,41,,,,19,,20,,,,,,,,,,,,
Llaima,JK 240b,ll c,,38.692,,"Schindlbeck et al., 2014",57.75,1.10,17.49,8.00,0.18,2.04,4.92,4.00,0.89,0.19,33.53,,96.56,,59.81,1.14,18.11,8.29,0.19,2.11,5.10,4.14,0.92,0.20,,33,,3,,12,,25,87,0,15,1,43,107,18,23,390,356,44,,,,11,,29,,,,,,,,,,,,
Llaima,JK 257,ll b,,38.692,,"Schindlbeck et al., 2014",52.50,1.10,17.18,10.21,0.17,4.50,8.62,2.76,0.49,0.15,46.58,,97.68,,53.75,1.13,17.59,10.45,0.17,4.61,8.82,2.83,0.50,0.15,,20,,2,,6,,31,248,39,33,23,175,84,16,13,429,192,18,,,,7,,10,,,,,,,,,,,,
Llaima,JK 258,ll c,,38.692,,"Schindlbeck et al., 2014",58.85,1.21,16.95,8.28,0.18,2.50,5.72,4.61,0.98,0.28,37.40,,99.56,,59.11,1.22,17.02,8.32,0.18,2.51,5.75,4.63,0.98,0.28,,31,,3,,15,,20,104,0,15,0,49,103,19,21,426,326,21,,,,5,,12,,,,,,,,,,,,
Llaima,JK 259a,ll c,,38.692,,"Schindlbeck et al., 2014",60.98,1.08,16.33,7.33,0.18,1.61,4.40,5.00,1.12,0.34,30.29,,98.37,,61.99,1.10,16.60,7.45,0.18,1.64,4.47,5.08,1.14,0.35,,34,,4,,12,,25,49,0,13,0,28,103,19,21,352,351,42,,,,5,,23,,,,,,,,,,,,
Llaima,JK 259b,ll c,,38.692,,"Schindlbeck et al., 2014",59.42,1.13,16.89,7.80,0.18,1.60,4.29,4.64,1.04,0.33,28.87,,97.32,,61.06,1.16,17.36,8.01,0.18,1.64,4.41,4.77,1.07,0.34,,36,,6,,11,,19,46,0,8,0,44,111,18,21,359,391,29,,,,10,,27,,,,,,,,,,,,
Llaima,JK 260,V c,,38.692,,"Schindlbeck et al., 2014",51.62,1.15,17.71,10.41,0.16,4.75,8.81,3.09,0.57,0.19,47.45,,98.46,,52.43,1.17,17.99,10.57,0.16,4.82,8.95,3.14,0.58,0.19,,21,,3,,7,,26,261,58,32,35,96,88,18,11,424,199,19,,,,9,,14,,,,,,,,,,,,
Llaima,JK 264,V v,,38.692,,"Schindlbeck et al., 2014",54.16,1.49,15.50,11.30,0.18,3.58,7.43,3.59,0.92,0.27,38.53,,98.42,,55.03,1.51,15.75,11.48,0.18,3.64,7.55,3.65,0.93,0.27,,28,,3,,9,,37,326,15,26,13,177,108,17,18,369,286,34,,,,11,,18,,,,,,,,,,,,
Llaima,JK 265,V w,,38.692,,"Schindlbeck et al., 2014",53.10,0.99,18.40,8.97,0.15,4.21,8.97,3.08,0.78,0.18,48.15,,98.83,,53.73,1.00,18.62,9.08,0.15,4.26,9.08,3.12,0.79,0.18,,19,,3,,3,,27,219,63,29,22,90,76,19,20,432,223,34,,,,5,,18,,,,,,,,,,,,
Llaima,JK 266,V a,,38.692,,"Schindlbeck et al., 2014",55.70,1.27,16.45,10.48,0.18,3.13,7.00,3.92,0.77,0.20,37.14,,99.10,,56.21,1.28,16.60,10.58,0.18,3.16,7.06,3.96,0.78,0.20,,23,,2,,5,,29,254,0,24,5,91,99,21,15,429,249,17,,,,,,9,,,,,,,,,,,,
Llaima,JK 267,V b,,38.692,,"Schindlbeck et al., 2014",54.96,1.26,16.10,10.36,0.18,3.37,7.43,3.77,0.73,0.21,39.16,,98.37,,55.87,1.28,16.37,10.53,0.18,3.43,7.55,3.83,0.74,0.21,,22,,3,,8,,31,269,2,24,7,86,96,18,14,419,231,24,,,,10,,13,,,,,,,,,,,,
Llaima,JK 268,V c,,38.692,,"Schindlbeck et al., 2014",52.33,1.09,17.72,10.32,0.17,6.24,9.79,3.01,0.59,0.18,54.47,,101.44,,51.59,1.07,17.47,10.17,0.17,6.15,9.65,2.97,0.58,0.18,,19,,3,,4,,30,264,102,34,52,120,86,17,12,427,193,12,,,,0,,12,,,,,,,,,,,,
Llaima,JK 284,<3000 years,,38.692,,"Schindlbeck et al., 2014",59.38,1.33,16.09,9.21,0.17,2.54,5.94,4.27,1.08,0.32,35.30,,100.33,,59.18,1.33,16.04,9.18,0.17,2.53,5.92,4.26,1.08,0.32,,29,,5,,6,,26,180,0,20,4,109,103,17,18,388,341,34,,,,9,,21,,,,,,,,,,,,
Llaima,JK 285,1957,,38.692,,"Schindlbeck et al., 2014",52.69,1.08,17.51,10.09,0.17,5.77,9.32,3.10,0.67,0.19,53.08,,100.59,,52.38,1.07,17.41,10.03,0.17,5.74,9.27,3.08,0.67,0.19,,19,,5,,5,,31,247,85,38,41,96,82,18,14,447,215,37,,,,7,,19,,,,,,,,,,,,
Llaima,JK 286,1751,,38.692,,"Schindlbeck et al., 2014",52.12,1.06,17.27,10.07,0.16,5.75,9.46,3.09,0.66,0.19,53.05,,99.83,,52.21,1.06,17.30,10.09,0.16,5.76,9.48,3.10,0.66,0.19,,19,,4,,4,,31,240,86,32,47,136,83,19,16,447,206,29,,,,11,,12,,,,,,,,,,,,
Llaima,LLA6,III d,,38.692,,"Schindlbeck et al., 2014",59.36,1.16,16.74,8.28,0.17,2.42,5.49,4.87,1.00,0.31,36.64,,99.80,,59.48,1.16,16.77,8.30,0.17,2.42,5.50,4.88,1.00,0.31,,30.75,121.44,2.90,0.83,10.17,,33.73,152.07,8.22,14.77,4.01,14.56,116.65,21.72,21.82,445.26,311.46,29.60,2.02,0.71,1.81,12.30,4.16,19.38,5.05,1.65,5.51,0.88,5.58,1.15,3.22,0.49,3.25,0.49,3.05,0.19
Llaima,2008,,,38.692,,Bouvet de Maisonneuve et al 2012 ,51.80,1.07,17.87,11.19,0.16,5.69,9.67,2.78,0.63,0.20,50.16,,101.06,,51.26,1.06,17.68,11.07,0.16,5.63,9.57,2.75,0.62,0.20,,,76,,,,,,,,,,,,,,452,,,,,,,,,,,,,,,,,,,,
Llaima,1957,,,38.692,,Bouvet de Maisonneuve et al 2012 ,52.04,1.02,17.82,10.87,0.16,5.70,9.58,3.03,0.64,0.19,50.91,,101.05,,51.50,1.01,17.63,10.76,0.16,5.64,9.48,3.00,0.63,0.19,,,72,,,,,,,,,,,,,,463,,,,,,,,,,,,,,,,,,,,
Llaima,F3,,,38.692,,Bouvet de Maisonneuve et al 2012 ,52.41,1.14,17.68,11.28,0.17,5.23,9.24,3.05,0.71,0.21,47.84,,101.12,,51.83,1.13,17.48,11.16,0.17,5.17,9.14,3.02,0.70,0.21,,,87,,,,,,,,,,,,,,445,,,,,,,,,,,,,,,,,,,,
Llaima,2008-508,,,38.692,,Reubi et al 2011 ,52.00,1.11,17.70,10.20,0.16,5.54,9.53,2.82,0.69,0.20,51.80,,99.95,,52.03,1.11,17.71,10.21,0.16,5.54,9.53,2.82,0.69,0.20,,23.4,88.9,2.57,0.791,7.75,0.213,31.5,252,80.9,33.0,45.2,120,86.6,18.4,14.7,453,200,20.4,1.32,0.482,1.15,8.46,2.95,13.8,3.47,1.10,4.01,0.640,3.93,0.824,2.34,,2.28,0.362,2.35,0.151
Llaima,1957-12c,,,38.692,,Reubi et al 2011 ,52.10,1.02,17.80,9.80,0.16,5.69,9.52,3.06,0.66,0.19,53.46,,100.00,,52.10,1.02,17.80,9.80,0.16,5.69,9.52,3.06,0.66,0.19,,20.9,80.2,2.48,0.557,8.33,0.193,28.8,239,81.6,32.4,45.6,106,79.8,17.8,14.7,475,198,19.2,1.29,0.460,1.01,8.18,2.71,12.7,3.22,1.03,3.55,0.576,3.53,0.734,2.10,,2.08,0.325,2.14,0.144
Llaima,1957-61,,,38.692,,Reubi et al 2011,51.70,1.04,18.00,9.80,0.16,5.59,9.82,3.06,0.59,0.18,53.02,,99.94,,51.73,1.04,18.01,9.81,0.16,5.59,9.83,3.06,0.59,0.18,,20.6,75.8,2.30,0.799,7.73,0.189,25.3,270,93.3,31.8,41.5,98,80.4,17.9,10.8,488,184,18.2,1.03,0.388,0.411,7.75,2.56,12.3,3.20,1.06,3.55,0.573,3.50,0.724,2.08,,2.05,0.317,2.01,1.320
Llaima,1780SSW-33,,,38.692,,Reubi et al 2011,52.10,0.95,17.80,9.60,0.16,5.99,9.57,3.03,0.63,0.16,55.25,,99.99,,52.11,0.95,17.80,9.60,0.16,5.99,9.57,3.03,0.63,0.16,,19.5,73.1,2.15,0.476,7.56,0.168,24.4,232,94.9,32.9,53.5,100,76.2,17.4,14.0,468,194,17.6,1.59,0.466,0.891,7.09,2.34,11.5,2.92,0.99,3.30,0.527,3.24,0.678,1.94,,1.90,0.299,1.96,0.130
Llaima,1780N-89,,,38.692,,Reubi et al 2011,52.60,1.10,17.30,10.10,0.16,5.63,9.03,3.12,0.81,0.21,52.45,,100.06,,52.57,1.10,17.29,10.09,0.16,5.63,9.02,3.12,0.81,0.21,,24.6,93.2,2.64,0.591,9.58,0.211,25.9,251,79.0,32.8,49.7,114,85.1,18.1,17.7,482,223,21.6,1.63,0.551,1.17,9.07,3.07,14.2,3.66,1.14,4.02,0.657,3.99,0.833,2.40,,2.39,0.368,2.48,0.158
Llaima,1780SE-19,,,38.692,,Reubi et al 2011,51.60,1.01,17.70,10.00,0.16,6.16,9.66,2.98,0.57,0.18,54.93,,100.02,,51.59,1.01,17.70,10.00,0.16,6.16,9.66,2.98,0.57,0.18,,21.1,76.2,2.17,0.530,6.59,0.182,29.0,243,94.6,34.5,55.1,108,81.1,17.6,12.1,456,177,17.5,1.02,0.379,0.951,7.36,2.52,12.0,3.10,1.02,3.52,0.567,3.51,0.732,2.10,,2.08,0.327,2.03,0.124
Llaima,1780S-208,,,38.692,,Reubi et al 2011,51.60,1.04,18.00,10.00,0.16,5.94,9.54,2.87,0.54,0.18,54.03,,99.87,,51.67,1.04,18.02,10.01,0.16,5.95,9.55,2.87,0.54,0.18,,20.1,73.9,2.18,0.564,5.35,0.181,28.8,241,79.0,34.1,50.9,105,84.5,18.5,10.4,476,175,17.1,0.93,0.352,0.858,7.04,2.52,11.7,3.01,1.02,3.50,0.550,3.40,0.711,2.02,,1.97,0.314,1.96,0.127
Llaima,1751-7,,,38.692,,Reubi et al 2011,51.60,1.03,17.60,10.10,0.16,6.15,9.57,3.03,0.59,0.18,54.64,,100.01,,51.59,1.03,17.60,10.10,0.16,6.15,9.57,3.03,0.59,0.18,,22.4,78.8,2.29,0.581,7.20,0.192,30.7,246,98.9,34.7,55.6,110,83.3,17.9,13.1,455,185,18.2,1.15,0.408,0.981,7.74,2.58,12.4,3.23,1.05,3.66,0.593,3.67,0.758,2.18,,2.15,0.336,2.11,0.132
Llaima,1903S-95,,,38.692,,Reubi et al 2011,54.30,0.98,17.30,9.20,0.15,5.05,8.80,3.18,0.90,0.17,52.06,,100.03,,54.28,0.98,17.29,9.20,0.15,5.05,8.80,3.18,0.90,0.17,,21.8,88.6,2.55,0.498,7.89,0.179,20.4,234,67.9,29.2,38.0,98,76.9,17.4,24.7,475,253,21.4,2.39,0.720,1.12,9.32,2.91,13.2,3.29,1.05,3.60,0.593,3.62,0.749,2.15,,2.17,0.336,2.38,0.164
Llaima,1640-31,,,38.692,,Reubi et al 2011,54.30,1.31,16.70,10.30,0.17,4.27,8.18,3.48,1.03,0.26,45.06,,100.00,,54.30,1.31,16.70,10.30,0.17,4.27,8.18,3.48,1.03,0.26,,32.0,131.2,3.53,0.925,12.62,0.269,26.7,259,44.8,27.9,27.7,127,93.9,18.2,24.2,412,268,27.7,2.19,0.764,1.82,10.8,3.72,17.6,4.58,1.31,5.19,0.848,5.28,1.11,3.18,,3.15,0.501,3.41,0.207
Llaima,1640S-385,,,38.692,,Reubi et al 2011,55.70,1.22,16.70,9.80,0.17,3.91,7.81,3.37,1.07,0.24,44.12,,99.99,,55.71,1.22,16.70,9.80,0.17,3.91,7.81,3.37,1.07,0.24,,28.6,120.9,3.23,0.914,8.71,0.248,23.9,244,37.6,25.8,21.7,96,93.1,18.8,26.6,403,287,26.5,2.36,0.806,1.70,11.0,3.70,17.0,4.26,1.25,4.90,0.784,4.85,1.02,2.92,,2.88,0.457,3.22,0.197
Llaima,1640S-252,,,38.692,,Reubi et al 2011,52.20,1.01,17.80,9.90,0.16,5.80,9.52,2.83,0.61,0.17,53.69,,100.00,,52.20,1.01,17.80,9.90,0.16,5.80,9.52,2.83,0.61,0.17,,21.1,75.6,2.07,0.522,6.10,0.177,31.5,237,79.0,33.6,48.3,102,83.1,17.9,13.1,440,180,17.2,1.18,0.423,0.977,7.15,2.51,11.7,3.01,1.01,3.53,0.566,3.51,0.742,2.10,,2.08,0.327,2.03,0.125
Llaima,1903-85,,,38.692,,Reubi et al 2011,53.10,1.00,17.60,9.60,0.16,5.49,9.17,3.09,0.75,0.18,53.09,,100.14,,53.03,1.00,17.58,9.59,0.16,5.48,9.16,3.09,0.75,0.18,,21.7,83.4,2.38,0.504,8.87,0.183,24.8,241,83.7,31.4,45.2,102,79.1,17.8,18.8,494,222,20.0,1.77,0.573,1.03,8.52,2.78,12.8,3.24,1.05,3.57,0.586,3.56,0.736,2.14,,2.13,0.334,2.23,0.148
Llaima,1852-76,,,38.692,,Reubi et al 2011,52.40,1.18,17.50,10.30,0.17,5.16,9.11,3.20,0.74,0.22,49.78,,99.98,,52.41,1.18,17.50,10.30,0.17,5.16,9.11,3.20,0.74,0.22,,25.3,98.7,2.89,0.685,9.47,0.228,23.2,261,55.0,31.1,38.8,123,88.4,18.4,16.6,451,218,22.1,1.40,0.524,1.24,9.36,3.10,14.8,3.83,1.17,4.27,0.691,4.26,0.879,2.53,,2.49,0.386,2.61,0.168
Llaima,1852-74c,,,38.692,,Reubi et al 2011,54.10,1.15,17.10,9.80,0.16,4.54,8.75,3.34,0.91,0.23,47.82,,100.08,,54.06,1.15,17.09,9.79,0.16,4.54,8.74,3.34,0.91,0.23,,26.0,106.3,3.12,0.904,9.27,0.242,31.5,254,63.3,27.6,23.9,115,85.7,18.1,23.8,441,264,25.0,2.26,0.702,1.33,10.8,3.47,15.9,4.01,1.21,4.40,0.705,4.28,0.886,2.56,,2.55,0.397,2.77,0.193
Llaima,1852-23,,,38.692,,Reubi et al 2011,51.80,1.06,18.10,9.90,0.16,5.34,9.65,3.15,0.61,0.18,51.63,,99.95,,51.83,1.06,18.11,9.90,0.16,5.34,9.65,3.15,0.61,0.18,,22.1,81.6,2.35,0.597,7.79,0.194,24.3,248,79.3,31.5,41.4,112,83.8,18.3,12.4,494,189,18.7,1.10,0.402,0.981,7.54,2.62,12.6,3.29,1.08,3.68,0.604,3.70,0.776,2.23,,2.19,0.341,2.17,0.138
Llaima,120318/04C,,,38.692,,this study,58.13,1.25,17.59,8.54,0.19,2.54,5.68,4.87,0.88,0.33,37.03,1.12,99.32,,58.53,1.26,17.71,8.60,0.19,2.56,5.72,4.90,0.89,0.34,,29.2,119.6,2.94,0.77,12.6,,23.9,107,5,12,5,13,106,21.4,17.7,435,282,29.7,2.2,0.82,1.61,12.0,4.1,19.8,4.8,1.74,5.5,0.92,5.4,1.16,3.3,0.44,3.5,0.49,3.4,0.23
Llaima,120318/04D,,,38.692,,this study,61.88,0.90,17.83,7.14,0.18,1.51,3.94,5.21,1.14,0.27,29.57,2.35,99.11,,62.44,0.91,17.99,7.20,0.18,1.53,3.97,5.25,1.15,0.27,,34.1,151.0,3.60,0.94,16.3,,19.7,50,3,6,2,10,98,21.7,22.8,324,342,35.6,3.0,1.07,2.06,14.7,4.8,22.5,5.6,1.73,6.4,0.99,6.7,1.37,4.0,0.60,4.0,0.64,4.4,0.23
Llaima,120319/01D,,,38.692,,this study,58.20,1.25,17.50,8.46,0.20,2.55,5.72,4.91,0.87,0.33,37.35,0.80,99.95,,58.23,1.25,17.51,8.46,0.20,2.55,5.72,4.92,0.87,0.33,,29.7,110.5,2.91,0.74,12.1,,24.6,109,5,13,2,12,107,21.3,17.0,441,287,30.5,2.1,0.79,1.45,11.9,4.2,20.0,5.0,1.75,5.7,0.89,5.9,1.16,3.5,0.50,3.3,0.49,3.3,0.20
